"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"104","berlin","2020-13-10",178347,"Reuterstraße",52.48865,13.42896,"Entire apartment","Entire home/apt",3,1,2,"$76.00",2,180,0,76.0666666666667,2282
"105","berlin","2020-13-10",179102,"Pankow Zentrum",52.56868,13.39969,"Entire apartment","Entire home/apt",12,3,15,"$170.00",2,365,26,170,680
"106","berlin","2020-13-10",180440,"Neue Kantstraße",52.50065,13.30162,"Entire apartment","Entire home/apt",1,1,1,"$43.00",60,180,2,43,1204
"107","berlin","2020-13-10",181638,"Parkviertel",52.55562,13.34055,"Entire apartment","Entire home/apt",1,1,2,"$25.00",45,400,0,25,750
"108","berlin","2020-13-10",181810,"Tempelhof",52.48552,13.39262,"Entire apartment","Entire home/apt",2,1,1,"$59.00",4,61,0,57.2,1716
"109","berlin","2020-13-10",183206,"Alexanderplatz",52.52735,13.38986,"Entire apartment","Entire home/apt",2,1,0,"$46.00",1,30,12,46.4444444444444,836
"110","berlin","2020-13-10",183988,"Neue Kantstraße",52.50001,13.30349,"Entire apartment","Entire home/apt",4,1,2,"$85.00",2,365,2,86.3214285714286,2417
"111","berlin","2020-13-10",185960,"Reuterstraße",52.48351,13.43555,"Private room in apartment","Private room",1,1,0,"$29.00",7,60,0,29,870
"112","berlin","2020-13-10",186663,"Zehlendorf  Nord",52.43431,13.22955,"Entire apartment","Entire home/apt",3,1,3,"$90.00",60,1125,28,90,180
"113","berlin","2020-13-10",186717,"Reuterstraße",52.48514,13.43413,"Entire apartment","Entire home/apt",4,1,1,"$80.00",2,365,3,80,2160
"114","berlin","2020-13-10",186851,"Schöneberg-Nord",52.49283,13.34873,"Entire apartment","Entire home/apt",2,1,2,"$33.00",62,300,0,33,990
"115","berlin","2020-13-10",187326,"Drakestr.",52.44409,13.29434,"Entire apartment","Entire home/apt",2,1,1,"$60.00",3,31,5,60.08,1502
"116","berlin","2020-13-10",188565,"West 1",52.57503,13.26306,"Boat","Entire home/apt",5,1,5,"$86.00",1,730,27,86,258
"117","berlin","2020-13-10",188922,"Prenzlauer Berg Südwest",52.53049,13.41471,"Entire apartment","Entire home/apt",3,1,2,"$45.00",28,240,0,45,1350
"118","berlin","2020-13-10",189288,"Prenzlauer Berg Ost",52.53814,13.45553,"Entire townhouse","Entire home/apt",4,2,2,"$105.00",3,365,21,105,945
"119","berlin","2020-13-10",189596,"Brunnenstr. Süd",52.53046,13.39889,"Entire apartment","Entire home/apt",2,1,1,"$80.00",4,365,0,80,2400
"120","berlin","2020-13-10",190448,"Buckow Nord",52.44149,13.46193,"Entire guest suite","Entire home/apt",3,NA,1,"$52.00",2,365,20,52,520
"121","berlin","2020-13-10",191023,"Alexanderplatz",52.51178,13.40751,"Private room in apartment","Private room",2,1,1,"$55.00",1,20,0,55,1650
